Year,Price,Mileage,Trim,car_age
2023,49798,27766,1,3
2023,41999,29083,0,3
2023,36998,53291,0,3
2023,47124,18363,0,3
2023,41683,41025,0,3
2023,42881,38751,0,3
2023,49029,38210,0,3
2023,52599,27130,0,3
2023,52743,28335,0,3
2023,41888,34307,0,3
2022,36495,27985,0,4
2023,45980,21775,0,3
2023,49999,14855,1,3
2023,42998,32876,0,3
2023,39716,39294,0,3
2023,47999,22448,0,3
2023,41777,35131,0,3
2022,39977,27500,0,4
2023,47299,23408,1,3
2022,46991,23473,1,4
2023,45491,25222,0,3
2023,42991,34343,0,3
2023,40991,40021,0,3
2023,43999,25307,0,3
2023,40999,42186,0,3
2023,48727,22298,1,3
2023,46998,43482,1,3
2023,47989,21214,0,3
2023,52988,6217,0,3
2023,49988,23472,0,3
2023,42962,26712,0,3
2023,51980,10982,1,3
2023,49980,28356,1,3
2023,49980,8667,0,3
2022,45370,41668,1,4
2023,43995,31722,0,3
2021,36998,24295,0,5
2022,37999,38630,0,4
2023,49979,31353,1,3
2022,32113,77322,0,4
2023,47000,40925,1,3
2023,47500,35221,1,3
2023,47500,51023,1,3
2023,38275,61913,1,3
2023,44900,29156,0,3
2023,51998,15771,1,3
2023,44471,44444,1,3
2022,49385,43056,1,4
2023,46341,51878,1,3
2023,41581,36779,0,3
2023,51900,24680,1,3
2022,36000,50076,0,4
2023,47987,26112,0,3
2023,40462,48810,0,3
2022,38494,51537,1,4
2023,49995,18507,1,3
2022,45000,27655,1,4
2023,47987,25585,1,3
2022,45887,35110,1,4
2023,45995,29057,0,3
2022,42566,23847,1,4
2022,47653,29587,1,4
2023,50991,24677,1,3
2023,44699,12217,0,3
2021,30657,64731,0,5
2023,39706,45700,0,3
2023,52989,23782,1,3
2021,40994,31059,1,5
2023,43995,35352,1,3
2022,41990,33833,1,4
2023,49589,15061,1,3
2023,45540,33272,1,3
2023,46999,25864,1,3
2022,44639,31768,1,4
2023,47471,42294,1,3
2023,52495,12715,1,3
2023,48943,26406,1,3
2023,52998,8525,1,3
2022,47491,28294,1,4
2023,46475,28367,1,3
2023,47145,29942,1,3
2023,47301,31234,1,3
2022,41733,48164,1,4
2023,44379,49620,1,3
2021,42950,40330,1,5
2023,49443,28931,1,3
2023,49961,21541,1,3
2023,47242,40486,1,3
2023,46502,41022,1,3
2023,52693,13238,1,3
2022,40570,50771,1,4
2023,50497,25056,1,3
2022,49995,25696,1,4
2023,48575,35345,1,3
2022,43875,42423,1,4
